ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICACIÓN,CP
15,57,SAN LORENZO MALACOTA,PUEBLO,50564
15,57,SANTA CLARA DE JUAREZ,PUEBLO,50580
15,27,TENJAY,PUEBLO,54373
15,27,LA ESPERANZA,PUEBLO,54384
15,27,LA MORA,BARRIO,54350
15,1,PUEBLO NUEVO BARRIO I,COLONIA,50337
15,1,BOSHINDO,PUEBLO,50300
15,1,SAN ILDEFONSO YOLOTEPEC,PUEBLO,50300
15,1,PROFESOR MANUEL HINOJOSA JUAREZ,UNIDAD HABITACIONAL,50300
15,1,BOVINI,PUEBLO,50319
15,1,LA HUERTA,PUEBLO,50357
15,1,MADO SECTOR I,PUEBLO,50355
15,46,LA QUINTA,HACIENDA,54240
15,46,OCTEYUCO 2000,PUEBLO,54240
15,92,SAN JUAN,BARRIO,54770
15,92,LA PROVIDENCIA,UNIDAD HABITACIONAL,54770
15,92,AGRICOLA SANTO TOMAS,COLONIA,54770
15,23,LA PLANADA,BARRIO,54660
15,23,SANTA BARBARA,BARRIO,54660
15,36,SANTIAGO TLALTEPOXCO,PUEBLO,54696
15,36,CIUDAD SANTA TERESA I,CONJUNTO HABITACIONAL,54694
15,36,CIUDAD SANTA TERESA II,CONJUNTO HABITACIONAL,54694
15,36,LA CAÐADA,BARRIO,54685
15,36,CASA NUEVA,FRACCIONAMIENTO,54685
15,36,JARDINES DE HUEHUETOCA,FRACCIONAMIENTO,54684
15,86,ANDARO,BARRIO,50400
15,36,CENTRO,COLONIA,54680
15,36,EX  HACIENDA DE XALPA,FRACCIONAMIENTO,54683
15,86,LA CORONA,PUEBLO,50400
15,97,WENCESLAO LABRA,COLONIA,55656
15,86,PURUAHUA,PUEBLO,50400
15,86,BONSHO,BARRIO,50400
15,97,EL SOL,BARRIO,55657
15,97,SAN MATEO,BARRIO,55657
15,97,EL VIJE,BARRIO,55655
15,86,MARO,BARRIO,50400
15,86,LA MAGDALENA,PUEBLO,50400
15,97,EJIDAL ADOLFO LOPEZ MATEOS,COLONIA,55650
15,86,LA MAGDALENA,COLONIA,50413
15,97,MONTE ALTO,BARRIO,55653
15,86,AHUACATITLAN,PUEBLO,50400
15,10,SANTA MARIA,BARRIO,55667
15,86,AHUACATITLAN CUARTA Y QUINTA,PUEBLO,50400
15,10,EL PIXCUAY,BARRIO,55667
15,86,CERRITOS DE CARDENAS,PUEBLO,50400
15,10,PEREZ DE GALEANA,BARRIO,55665
15,86,CALDERAS,PUEBLO,50445
15,86,SAN NICOLAS SOLIS,PUEBLO,50445
15,86,SOLIS EX-HACIENDA,PUEBLO,50400
15,10,LOMA BONITA,COLONIA,55666
15,46,MAGISTERIO ESTATAL,UNIDAD HABITACIONAL,54240
15,46,ISSEMYM,UNIDAD HABITACIONAL,54240
15,86,SAN MIGUEL SOLIS,PUEBLO,50400
15,10,INDUSTRIAL - LA ESTACION,COLONIA,55663
15,86,SAN JOSE SOLIS,PUEBLO,50445
15,86,SANTA ROSA SOLIS,PUEBLO,50443
15,46,EL JAGUEY,HACIENDA,54250
15,86,SAN ANTONIO SOLIS,PUEBLO,50440
15,10,EL MIRADOR,COLONIA,55667
15,80,LA PROVIDENCIA,COLONIA,54280
15,10,LA PROVIDENCIA,COLONIA,55663
15,10,JUAREZ,COLONIA,55664
15,10,COYOTILLOS,BARRIO,55664
15,113,LOS DOMINGUEZ,BARRIO,54300
15,3,LAS LAJAS,PUEBLO,50360
15,3,EL COLORADO,PUEBLO,50360
15,3,SANTA MARIA NATIVITAS,PUEBLO,50360
15,3,ACULCO DE ESPINOZA,PUEBLO,50360
15,72,SAN ANTONIO POLOTITLAN,PUEBLO,54200
15,72,CENTRO,COLONIA,54200
15,1,LA LOMA,PUEBLO,50355
15,1,SAN FRANCISCO SHAXNI,PUEBLO,50357
15,75,GUADALUPE,COLONIA,50640
15,75,EJIDAL,COLONIA,50640
15,75,EL OBRAJE,PUEBLO,50649
15,75,SAN PABLO TLALCHICHILPA,BARRIO,50640
15,75,LA ERA,BARRIO,50640
